,dl,vl,db,vb,dc,soc
0,5416.2645,10.0,0.0,0.0,0.0,0.5
1,5377.3625,10.0,0.0,0.0,0.0,0.5
2,5365.6625,10.0,0.0,0.0,0.0,0.5
3,5321.5225,10.0,0.0,0.0,0.0,0.5
4,5395.0845,10.0,0.0,0.0,0.0,0.5
5,5527.8265,0.0,0.0,10.0,0.0,0.5124
6,5658.6701,0.0,0.0,10.0,0.0,0.5247
7,5859.35,0.0,199.8496,22.0,0.0,0.8
8,6041.4772,14.0,0.0,0.0,0.0,0.8
9,5865.6952,348.0,0.0,0.0,0.0,0.8
10,6239.1379,132.0,0.0,0.0,0.0,0.8
11,6221.8666,45.0,0.0,0.0,250.0,0.4667
12,6523.5485,8.0,167.93,101.0,0.0,0.8
13,6327.7183,39.0,0.0,0.0,200.0,0.5333
14,5704.8431,627.0,0.0,0.0,250.0,0.2
15,5992.9263,554.0,0.0,0.0,0.0,0.2
16,6400.8496,40.0,0.0,0.0,0.0,0.2
17,6324.1353,19.0,0.0,0.0,0.0,0.2
18,6053.3566,192.0,0.0,0.0,0.0,0.2
19,6034.8589,7.0,0.0,0.0,0.0,0.2
20,5934.2775,10.0,0.0,0.0,0.0,0.2
21,5827.5316,10.0,0.0,0.0,0.0,0.2
22,5689.2445,11.0,0.0,0.0,0.0,0.2
23,5538.1365,0.0,231.9405,10.0,0.0,0.5
